Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,"If a false belief survives because someone is trapped in an echo chamber, what is the best strategy?",1,Rebuilding relationship trust,Supplying large study packets,Explaining the deficit model,Forcing opposing views,
MC,,,Why is public health ethics often described as an inherently political discipline?,2,It ignores scientific findings,It authorizes coercive state power,It bypasses the Supreme Court,It only involves voting,
MC,,,What was Wakefield's undisclosed financial conflict of interest while publishing the Lancet study?,4,Paid by foreign governments,Selling rival vaccine patents,Short-selling Lancet shares,Funded by litigation lawyers,
MC,,,Why do many public health interventions face intense public resistance?,1,They burden some for others,They focus on terminal patients,They are entirely unproven,They require citizen consent,
MC,,,"In answering ""Why trust science?"", Naomi Oreskes argues that trust is fundamentally based on what?",3,Lone genius breakthroughs,Direct foundational truth access,Sustained critical expert consensus,Deficit model adherence,
MC,,,"If a person refuses the MMR vaccine purely due to lacking information rather than politics, what condition do they have?",2,Identity-protective cognition,A simple deficit,A deep echo chamber,Deliberate free-riding,
MC,,,Why did Mary Mallon's second lifelong confinement feel more ethically justified than her first?,1,She cooked knowing she was infectious,She committed a violent crime,Laws banned Irish immigrants,The Supreme Court ruled on her,
MR,,,Which of the following are parts of Childress and colleagues' five justificatory benchmarks? (Select all that apply),"1,2,3,5",Necessity,Effectiveness,Proportionality,Financial yield,Least infringement
MR,,,"What are defining features of an ""echo chamber"" according to Nguyen? (Select all that apply)","1,3,5",Dismisses contrary evidence,Easily popped by raw facts,Builds distrust in mainstream,Accidentally leaves out information,Actively discredits outside voices
MR,,,Which arguments did the Supreme Court use to allow compelled vaccination in Jacobson v. Massachusetts? (Select all that apply),"3,4,5",Federal government directs states,Sterilization is vital to health,States have police power,Liberty is not absolute right,Constitutional during active outbreaks
MR,,,What was true regarding Mary Mallon's first confinement for typhoid? (Select all that apply),"3,4,5",She admitted spreading typhoid,It lasted until her death,She felt entirely healthy,No law allowed carrier quarantine,She committed no crime
MR,,,What did Dan Kahan's research on identity-protective cognition show regarding deeply political science questions? (Select all that apply),"2,3,4",Only uneducated resist science,Science literacy increases polarization,Minds prioritize group alignment,Reasoning protects group standing,The deficit model is accurate
MR,,,What elements contributed to the immediate and lasting impact of the Wakefield MMR study? (Select all that apply),"1,2,3",Published in the prestigious Lancet,Matched modern medicine anxieties,Uncritical spread by early media,Initially endorsed by the FDA,Verified clinically on thousands
MR,,,What ethical principles must often be balanced directly against each other in public health decisions? (Select all that apply),"2,4,5",Absolute right to refuse regulation,Collective welfare,Market forces as determinants,Justice or fairness in burdens,Individual autonomy or liberty
MR,,,"Which statements accurately describe a ""free rider"" problem in public health vaccination? (Select all that apply)","1,3,5",Avoid personal risks of vaccines,Actively endure quarantine isolation,Gain protection from vaccinated majority,Pay extreme out-of-pocket costs,Leverage herd immunity unfairly
MR,,,What does Naomi Oreskes argue regarding how and why we should trust scientific establishments? (Select all that apply),"3,4,5",Consensus is irrelevant to basic factuality,Accesses absolute untainted foundational truth,Process corrects flawed individual studies,Process of social consensus-building,Community of experts scrutinizing each other
MR,,,How do epistemic bubbles differ from echo chambers according to Nguyen? (Select all that apply),"2,3,4",Echo chambers are innocent filter bubbles,Echo chambers involve active distrust of others,Bubbles are easily fixed by information,Bubbles involve accidentally missing voices,Bubbles actively attack opposing arguments
