Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,Which lens says a distribution is just if acquired fairly?,3,Rawlsian,Utilitarian,Libertarian,Capabilities,
MC,,,What distinguishes Spain highly successful organ donation system?,1,A presumed consent law,Paying living donors,Allowing a committee to screen merit,Relying exclusively on NHI system,
MC,,,Whose work helped define the capabilities approach to justice?,3,Philippa Foot and James Rachels,Norman Daniels and T.R. Reid,Amartya Sen and Martha Nussbaum,Robert Nozick and John Rawls,
MC,,,"In the context of justice in healthcare, what does Norman Daniels argue?",2,Universal care should be eliminated,A right to health care protects opportunity,Capabilities are fully distinct from opportunity,Care is never a moral right,
MC,,,How do US outcomes compare to other wealthy nations in maternal mortality?,4,Has completely eliminated maternal mortality,Identical to the OECD average,Significantly lower maternal mortality rates,Significantly higher maternal mortality rates,
MC,,,Which populations in the US are essentially under a Beveridge model?,3,Uninsured working-class individuals,Seniors over 65 on Medicare,Veterans through the VA,Working adults through employers,
MR,,,Which factors are considered by UNOS when allocating an organ? (Select all that apply),"1,2,3,4",Matching and proximity,Medical urgency,Time graft will work,Time on the waiting list,
MR,,,Which systems are part of T.R. Reid models? (Select all that apply),"1,2,3,4",Beveridge,National Health Insurance,Bismarck,Out-of-pocket,
MR,,,What are defining features of the Libertarian lens on justice? (Select all that apply),"2,3,4",Focus on securing a threshold of capabilities,Focus on just acquisition and transfer,Forced taxation is seen as coercion,Self-ownership forms the basis of rights,
MR,,,What does the Utilitarian lens prioritize when looking at organ allocation? (Select all that apply),"1,3,4",Maximizing quality-adjusted life years,Lexical priority of basic liberties,System-wide effects on trust,Most total well-being or good,
MR,,,What components are part of John Rawls theory of justice? (Select all that apply),"1,2,3,4",The difference principle,Lexical priority of equal basic liberties,Fair equality of opportunity,The veil of ignorance,
MR,,,Which statements accurately describe Singapore healthcare system? (Select all that apply),"1,2,3,4",Emphasizes personal responsibility,Requires mandatory savings accounts,Subsidies are tiered based on ward,Uses catastrophic insurance,
MR,,,What features make the US healthcare system unique among wealthy nations? (Select all that apply),"1,3,4",Mixes Beveridge Bismarck and NHI concurrently,Top-tier life expectancy,Relies heavily on employer-sponsored insurance,Highest spending per capita globally,
MR,,,Which groups of patients correspond with which models in the US? (Select all that apply),"1,2,3,4",Seniors on Medicare experience an NHI-like model,VA patients experience a Beveridge-like model,Working Americans experience Bismarck-like model,Uninsured experience an out-of-pocket model,
MR,,,What trade-offs often conflict in organ allocation algorithms? (Select all that apply),"1,2,4",Time waiting,Sickest first,Wealthiest first,Most life-years gained,
MR,,,How do capabilities theorists counter utilitarian QALY metrics? (Select all that apply),"1,2,4",Argue a disabled life is not inherently worth less,Evaluate whether the system secures necessary thresholds,Advocate strict random lotteries,Focus on what the specific person needs,
